dni,nombre,apellido,edad,ocupacion,equipo_nombre,equipo_pais,start_year,peso,altura,enfermedades,categoria,grupo_sanguineo,posesion_porcentaje,goles,pases,tipo_lesion,fecha_inicio,fecha_fin,descripcion,retorno_estimado
14762034U,Lucía,Ruiz,21,Defensora,PSG,UK,2022,56.8,1.63,ninguna,C,AB+,61.8,14,105,Lesión muscular,2023-12-19,2024-02-14,lesión muscular leve,Doubtful
39272319E,Blanca,García,21,Delantera,Borussia Dortmund,Francia,2020,60.8,1.75,ninguna,C,O-,63.9,11,200,Rotura de ligamentos,2024-07-28,2024-08-04,rotura de ligamentos leve,Doubtful
23538878D,Sofia,Sanz,27,Centrocampista,PSG,Alemania,2020,56.9,1.75,ninguna,C,O-,60.2,13,150,Contractura,2024-05-17,2024-06-09,contractura leve,Doubtful
42676781S,Sofia,Ruiz,23,Centrocampista,Juventus,Francia,2022,57.2,1.69,ninguna,C,O+,67.5,19,144,Tendinitis,2023-12-02,2024-01-12,tendinitis leve,Recovered
14890683A,Sofia,Moya,28,Centrocampista,Juventus,España,2018,61.0,1.72,asma,C,AB+,66.8,5,172,Rotura de ligamentos,2024-01-14,2024-03-08,rotura de ligamentos leve,Doubtful
80519399C,Ana,Navarro,30,Portera,Valencia,UK,2017,63.6,1.79,asma,C,AB+,73.1,13,187,Rotura de ligamentos,2024-07-17,2024-09-05,rotura de ligamentos leve,Doubtful
92104791T,Cristina,Navarro,26,Portera,Valencia,Alemania,2019,58.9,1.78,ninguna,B,A-,60.6,19,123,Tendinitis,2024-02-09,2024-03-12,tendinitis leve,Recovering
41840672R,Ana,González,27,Portera,AC Milan,Italia,2017,61.3,1.69,ninguna,C,A-,72.9,15,113,Desgarro muscular,2024-08-05,2024-09-21,desgarro muscular leve,Doubtful
93954381C,Sofia,García,23,Centrocampista,Tottenham,Francia,2020,57.6,1.75,asma,A,AB+,70.8,16,135,Lesión de hombro,2024-06-11,2024-06-18,lesión de hombro leve,Recovered
34667614B,Maria,Díaz,30,Centrocampista,Atlético Madrid,Italia,2019,61.3,1.73,asma,C,A+,68.8,13,136,Fractura de nariz,2024-01-15,2024-02-24,fractura de nariz leve,Recovered
29837902G,Elisa,Cruz,22,Delantera,Real Sociedad,España,2023,64.9,1.62,ninguna,B,A-,67.3,19,194,Contusión,2024-01-26,2024-02-28,contusión leve,Recovering
55744210J,Isabel,Serrano,20,Defensora,Chelsea,España,2022,63.4,1.61,asma,C,AB-,74.3,3,117,Fractura de nariz,2024-03-03,2024-03-19,fractura de nariz leve,Recovered
48633339H,Lucía,Cruz,23,Portera,Inter de Milán,España,2021,64.1,1.7,ninguna,C,AB+,61.4,5,101,Contusión,2024-09-10,2024-09-15,contusión leve,Recovered
42115913N,Natalia,Fernández,24,Defensora,Leicester City,Italia,2019,62.3,1.76,ninguna,C,AB+,71.9,12,110,Contractura,2024-05-31,2024-07-02,contractura leve,Recovered
88498352L,Adriana,Moreno,24,Delantera,Bayern Munich,Italia,2017,62.4,1.72,asma,A,AB-,70.2,15,112,Contusión,2023-12-11,2024-01-26,contusión leve,Recovering
76723296E,Elena,Díaz,22,Centrocampista,Real Madrid,UK,2021,56.8,1.79,asma,C,O-,70.3,11,151,Tendinitis,2024-04-06,2024-05-26,tendinitis leve,Recovered
55840383P,Isabel,Ruiz,28,Centrocampista,Manchester City,Alemania,2023,56.3,1.64,ninguna,C,B+,70.5,16,197,Lesión muscular,2024-02-04,2024-02-09,lesión muscular leve,Recovered
69354711W,Cristina,López,25,Centrocampista,Manchester City,Italia,2017,61.8,1.62,asma,A,A-,69.2,3,181,Lesión de hombro,2024-09-12,2024-09-24,lesión de hombro leve,Recovered
26185088U,Elisa,Pérez,28,Defensora,Atlético Madrid,Francia,2022,59.7,1.71,asma,A,A-,71.6,6,113,Desgarro muscular,2024-09-06,2024-10-11,desgarro muscular leve,Recovering
92805674H,Julia,Navarro,23,Defensora,Tottenham,España,2023,63.8,1.6,ninguna,B,O-,63.8,18,117,Tendinitis,2024-03-11,2024-03-28,tendinitis leve,Doubtful
81764954N,Lucía,García,22,Defensora,Olympique Lyon,UK,2021,61.1,1.77,ninguna,C,O-,74.1,10,152,Esguince de tobillo,2024-09-11,2024-10-17,esguince de tobillo leve,Doubtful
60766350Z,Adriana,Fernández,27,Defensora,Juventus,Alemania,2018,57.7,1.7,ninguna,C,AB+,71.2,16,157,Lesión muscular,2024-02-23,2024-03-31,lesión muscular leve,Recovering
22789842G,Paula,García,27,Delantera,Chelsea,Italia,2020,57.1,1.67,asma,C,AB+,71.5,20,101,Contractura,2024-06-28,2024-08-21,contractura leve,Recovering
43399008E,Ana,Ruiz,22,Portera,Arsenal,Francia,2023,63.3,1.61,asma,B,B-,63.3,1,164,Esguince de tobillo,2024-08-02,2024-09-04,esguince de tobillo leve,Doubtful
14753673J,Blanca,Suárez,26,Portera,Olympique Lyon,Francia,2017,55.6,1.68,ninguna,C,B+,72.1,19,115,Rotura de ligamentos,2024-03-06,2024-04-10,rotura de ligamentos leve,Doubtful
15245453E,Maria,Martínez,28,Portera,Inter de Milán,Alemania,2022,59.7,1.67,asma,A,O-,73.2,1,148,Esguince de tobillo,2024-01-08,2024-02-11,esguince de tobillo leve,Recovering
14643955R,Isabel,Moreno,29,Centrocampista,Juventus,Alemania,2021,64.8,1.74,asma,A,A+,71.6,8,187,Tendinitis,2023-12-29,2024-01-29,tendinitis leve,Recovering
69438875V,Marta,Ortega,27,Portera,Valencia,Italia,2022,62.2,1.66,asma,C,O+,69.5,7,187,Contractura,2024-07-30,2024-08-08,contractura leve,Recovered
25718654C,Ana,Pérez,26,Delantera,Inter de Milán,UK,2023,59.1,1.68,ninguna,B,O-,74.8,11,147,Lesión muscular,2023-12-29,2024-01-07,lesión muscular leve,Recovering
19905658S,Raquel,Fernández,26,Delantera,Liverpool,Francia,2017,56.6,1.79,asma,A,AB-,61.5,13,146,Lesión de hombro,2024-05-15,2024-06-01,lesión de hombro leve,Recovered
57654482K,Elisa,Gómez,29,Defensora,Arsenal,Alemania,2023,58.8,1.67,ninguna,C,A+,61.1,5,172,Fractura de nariz,2024-04-18,2024-04-30,fractura de nariz leve,Recovering
68771517V,Laura,Ramírez,21,Delantera,Juventus,Alemania,2019,60.9,1.61,ninguna,C,A+,60.5,0,190,Lesión muscular,2024-06-28,2024-07-19,lesión muscular leve,Recovered
60701058Q,Ana,González,29,Defensora,Borussia Dortmund,UK,2017,59.1,1.62,asma,B,A-,66.5,11,163,Lesión de hombro,2024-05-13,2024-07-10,lesión de hombro leve,Recovered
15926281A,Laura,López,26,Portera,PSG,Francia,2022,59.9,1.62,asma,A,B-,73.5,19,170,Fractura de nariz,2024-01-06,2024-02-27,fractura de nariz leve,Recovered
82163549N,Blanca,Suárez,24,Delantera,Juventus,Francia,2023,60.9,1.76,asma,C,AB-,63.1,0,107,Lesión muscular,2024-05-21,2024-06-16,lesión muscular leve,Doubtful
43490224L,Carmen,Serrano,23,Portera,Arsenal,Italia,2020,64.9,1.7,ninguna,C,B-,66.3,12,112,Contractura,2024-01-20,2024-03-11,contractura leve,Doubtful
68988251O,Lucía,Pérez,29,Delantera,Manchester United,Italia,2021,60.4,1.63,ninguna,B,O-,73.4,10,127,Contusión,2023-12-21,2024-01-03,contusión leve,Doubtful
10242714V,Natalia,Díaz,21,Defensora,Leicester City,Alemania,2017,63.2,1.72,asma,C,B-,65.6,15,145,Lesión de hombro,2024-09-09,2024-11-01,lesión de hombro leve,Recovered
10668925C,Paula,Ortega,26,Centrocampista,Leicester City,España,2022,59.3,1.73,ninguna,A,A-,69.4,18,136,Lesión muscular,2024-04-07,2024-06-04,lesión muscular leve,Doubtful
30208060A,Isabel,Navarro,21,Delantera,Chelsea,UK,2018,59.5,1.61,asma,A,B+,60.6,2,143,Contusión,2023-12-27,2024-01-17,contusión leve,Doubtful
56273623D,Laura,Cruz,29,Centrocampista,Manchester City,España,2023,60.4,1.74,ninguna,A,O+,73.5,3,100,Desgarro muscular,2024-06-05,2024-07-22,desgarro muscular leve,Recovered
64771670B,Cristina,Suárez,23,Delantera,AC Milan,UK,2019,63.3,1.76,ninguna,C,O+,73.6,6,155,Esguince de tobillo,2023-12-01,2023-12-20,esguince de tobillo leve,Doubtful
80517457B,Isabel,Serrano,26,Portera,Tottenham,Italia,2018,55.6,1.78,ninguna,A,O+,62.1,14,195,Contusión,2023-12-29,2024-02-07,contusión leve,Recovering
39819001Y,Sofia,Díaz,20,Portera,Borussia Dortmund,Italia,2022,65.0,1.63,ninguna,C,A-,71.2,19,187,Contusión,2024-04-04,2024-05-22,contusión leve,Recovered
65241683H,Maria,Suárez,27,Portera,Valencia,Italia,2021,58.0,1.74,ninguna,C,AB-,65.4,17,126,Lesión muscular,2024-02-25,2024-04-02,lesión muscular leve,Recovered
77269315V,Ana,Vega,21,Delantera,Sevilla,UK,2021,64.7,1.71,ninguna,C,A+,67.6,5,130,Contusión,2023-11-08,2023-12-12,contusión leve,Recovering
62028345A,Sofia,Suárez,26,Portera,Inter de Milán,Italia,2018,64.8,1.68,ninguna,A,A-,62.4,0,198,Esguince de tobillo,2024-07-27,2024-08-26,esguince de tobillo leve,Doubtful
88112104O,Cristina,Díaz,24,Centrocampista,Tottenham,Francia,2018,58.6,1.6,ninguna,B,B-,64.7,8,169,Contusión,2023-11-12,2024-01-06,contusión leve,Recovered
96560778P,Carmen,Díaz,26,Portera,PSG,Alemania,2021,55.8,1.72,ninguna,A,B-,63.6,3,124,Contusión,2024-09-06,2024-09-19,contusión leve,Doubtful
27580631X,Isabel,Sanz,20,Portera,Barcelona,Italia,2018,60.4,1.78,asma,A,O+,60.4,20,198,Desgarro muscular,2023-11-27,2024-01-01,desgarro muscular leve,Recovered
45156482S,Patricia,Gómez,21,Defensora,Arsenal,Francia,2021,63.2,1.71,asma,B,A-,69.4,16,167,Lesión muscular,2024-09-28,2024-11-18,lesión muscular leve,Recovering
26265731I,Elisa,Sanz,20,Defensora,Tottenham,España,2020,57.9,1.7,asma,A,O-,69.7,7,177,Rotura de ligamentos,2024-03-03,2024-05-01,rotura de ligamentos leve,Recovered
73695332V,Adriana,López,23,Centrocampista,Manchester City,Italia,2020,64.1,1.62,ninguna,A,B-,65.4,14,138,Fractura de nariz,2024-04-11,2024-05-17,fractura de nariz leve,Recovering
77944387R,Adriana,Gómez,21,Portera,Atlético Madrid,UK,2019,56.0,1.61,asma,B,B-,71.8,20,188,Lesión muscular,2023-11-29,2023-12-07,lesión muscular leve,Recovering
46425918S,Adriana,Ruiz,30,Delantera,Leicester City,Francia,2020,60.0,1.75,ninguna,A,O-,70.4,12,104,Lesión de hombro,2024-04-29,2024-05-06,lesión de hombro leve,Recovering
59175281G,Paula,Moreno,22,Centrocampista,Olympique Lyon,Italia,2023,55.6,1.75,ninguna,A,O+,62.5,19,150,Contusión,2024-03-20,2024-05-15,contusión leve,Recovering
18068898R,Marta,Fernández,27,Centrocampista,Inter de Milán,Francia,2020,61.7,1.63,ninguna,C,O-,62.4,18,162,Rotura de ligamentos,2024-09-19,2024-10-11,rotura de ligamentos leve,Recovering
34055501C,Verónica,Ramírez,25,Portera,Atlético Madrid,Francia,2020,55.4,1.61,ninguna,B,AB-,65.0,11,164,Esguince de tobillo,2023-11-09,2023-12-21,esguince de tobillo leve,Doubtful
71153427Z,Marta,Martínez,28,Defensora,Leicester City,Alemania,2021,59.9,1.79,asma,C,AB+,67.7,13,173,Esguince de tobillo,2024-05-06,2024-05-12,esguince de tobillo leve,Recovering
20707622F,Lucía,García,24,Portera,AC Milan,Alemania,2022,60.1,1.71,ninguna,A,A+,65.0,2,176,Lesión muscular,2024-06-03,2024-06-29,lesión muscular leve,Recovered
36268520J,Adriana,García,22,Defensora,Bayern Munich,UK,2020,60.4,1.75,ninguna,B,B+,72.6,14,197,Fractura de nariz,2024-01-16,2024-03-07,fractura de nariz leve,Recovered
70802389K,Cristina,Gómez,29,Delantera,Bayern Munich,España,2020,60.9,1.76,ninguna,A,O-,74.6,5,187,Esguince de tobillo,2024-04-24,2024-06-04,esguince de tobillo leve,Doubtful
73177541E,Natalia,Pérez,28,Defensora,Manchester United,Alemania,2018,59.3,1.77,ninguna,C,AB-,72.0,12,105,Tendinitis,2024-08-13,2024-08-25,tendinitis leve,Recovering
88952936S,Blanca,Gómez,21,Defensora,Sevilla,Francia,2019,55.5,1.67,asma,C,AB-,66.4,4,106,Contusión,2024-01-30,2024-03-01,contusión leve,Doubtful
40800027C,Sofia,Ruiz,24,Centrocampista,Borussia Dortmund,España,2018,62.4,1.68,asma,C,B-,66.4,9,136,Contractura,2024-02-27,2024-03-10,contractura leve,Recovered
67339994W,Ana,González,24,Centrocampista,Olympique Lyon,Alemania,2018,57.7,1.75,ninguna,C,B+,61.3,14,147,Contractura,2024-06-05,2024-07-03,contractura leve,Recovered
59995454K,Cristina,Cruz,20,Portera,Bayern Munich,Alemania,2018,57.0,1.66,ninguna,C,A-,74.3,16,160,Contractura,2024-06-16,2024-06-25,contractura leve,Doubtful
86269807A,Isabel,Navarro,21,Centrocampista,Real Madrid,España,2022,57.3,1.72,ninguna,C,A-,73.4,9,181,Desgarro muscular,2024-02-15,2024-03-26,desgarro muscular leve,Doubtful
25726516N,Julia,Ruiz,23,Centrocampista,Real Sociedad,Alemania,2019,60.8,1.69,ninguna,B,A-,72.3,13,191,Lesión de hombro,2024-09-13,2024-10-04,lesión de hombro leve,Recovering
23026188V,Isabel,Moya,25,Defensora,Olympique Lyon,Francia,2019,62.7,1.72,ninguna,A,AB+,65.8,4,102,Tendinitis,2024-03-15,2024-04-19,tendinitis leve,Recovering
88830299Q,Sara,García,25,Portera,Real Sociedad,UK,2019,62.0,1.72,ninguna,A,AB+,73.3,13,143,Lesión de hombro,2024-02-25,2024-03-19,lesión de hombro leve,Doubtful
43016805O,Laura,Martínez,26,Centrocampista,Real Madrid,Italia,2019,60.9,1.7,asma,B,AB-,64.2,18,175,Lesión muscular,2024-07-16,2024-08-12,lesión muscular leve,Recovering
